#separator:tab
#html:false
#notetype:Portuguese (EP) – Spoken Frequency
#deck:Portuguese::European Portuguese - Spoken - 5001 to 10000
#columns:Rank	Lemma_PT	POS_guess	Is_MWE	Raw_Freq	Freq_per_million	Tags
#tags column:7
5001	lume	unk	0	4309	6.773	freq::5001-5500 freq500::5001-5500 freq1000::5001-6000 pos::unk source::opensubtitles_ep_v2018 variety::EP register::spoken
5002	toxina	adj	0	4308	6.771	freq::5001-5500 freq500::5001-5500 freq1000::5001-6000 pos::adj source::opensubtitles_ep_v2018 variety::EP register::spoken
5003	renascer	verb	0	4307	6.770	freq::5001-5500 freq500::5001-5500 freq1000::5001-6000 pos::verb source::opensubtitles_ep_v2018 variety::EP register::spoken
5004	fotográfico	adj	0	4303	6.763	freq::5001-5500 freq500::5001-5500 freq1000::5001-6000 pos::adj source::opensubtitles_ep_v2018 variety::EP register::spoken
5005	cona	noun	0	4302	6.762	freq::5001-5500 freq500::5001-5500 freq1000::5001-6000 pos::noun source::opensubtitles_ep_v2018 variety::EP register::spoken
5006	strip	unk	0	4302	6.762	freq::5001-5500 freq500::5001-5500 freq1000::5001-6000 pos::unk source::opensubtitles_ep_v2018 variety::EP register::spoken
5007	chique	unk	0	4301	6.760	freq::5001-5500 freq500::5001-5500 freq1000::5001-6000 pos::unk source::opensubtitles_ep_v2018 variety::EP register::spoken
5008	marina	adj	0	4297	6.754	freq::5001-5500 freq500::5001-5500 freq1000::5001-6000 pos::adj source::opensubtitles_ep_v2018 variety::EP register::spoken
5009	fundar	verb	0	4296	6.752	freq::5001-5500 freq500::5001-5500 freq1000::5001-6000 pos::verb source::opensubtitles_ep_v2018 variety::EP register::spoken
5010	berço	noun	0	4295	6.751	freq::5001-5500 freq500::5001-5500 freq1000::5001-6000 pos::noun source::opensubtitles_ep_v2018 variety::EP register::spoken
5011	fulo	noun	0	4293	6.748	freq::5001-5500 freq500::5001-5500 freq1000::5001-6000 pos::noun source::opensubtitles_ep_v2018 variety::EP register::spoken
5012	golfinho	adj	0	4293	6.748	freq::5001-5500 freq500::5001-5500 freq1000::5001-6000 pos::adj source::opensubtitles_ep_v2018 variety::EP register::spoken
5013	traje	unk	0	4292	6.746	freq::5001-5500 freq500::5001-5500 freq1000::5001-6000 pos::unk source::opensubtitles_ep_v2018 variety::EP register::spoken
5014	infetar	verb	0	4291	6.745	freq::5001-5500 freq500::5001-5500 freq1000::5001-6000 pos::verb source::opensubtitles_ep_v2018 variety::EP register::spoken
5015	tabuleiro	noun	0	4290	6.743	freq::5001-5500 freq500::5001-5500 freq1000::5001-6000 pos::noun source::opensubtitles_ep_v2018 variety::EP register::spoken
5016	aspirina	adj	0	4288	6.740	freq::5001-5500 freq500::5001-5500 freq1000::5001-6000 pos::adj source::opensubtitles_ep_v2018 variety::EP register::spoken
5017	exibição	noun	0	4285	6.735	freq::5001-5500 freq500::5001-5500 freq1000::5001-6000 pos::noun source::opensubtitles_ep_v2018 variety::EP register::spoken
5018	exótico	adj	0	4285	6.735	freq::5001-5500 freq500::5001-5500 freq1000::5001-6000 pos::adj source::opensubtitles_ep_v2018 variety::EP register::spoken
5019	cartucho	noun	0	4284	6.734	freq::5001-5500 freq500::5001-5500 freq1000::5001-6000 pos::noun source::opensubtitles_ep_v2018 variety::EP register::spoken
5020	capela	noun	0	4283	6.732	freq::5001-5500 freq500::5001-5500 freq1000::5001-6000 pos::noun source::opensubtitles_ep_v2018 variety::EP register::spoken
5021	reverter	verb	0	4283	6.732	freq::5001-5500 freq500::5001-5500 freq1000::5001-6000 pos::verb source::opensubtitles_ep_v2018 variety::EP register::spoken
5022	hobbit	unk	0	4282	6.730	freq::5001-5500 freq500::5001-5500 freq1000::5001-6000 pos::unk source::opensubtitles_ep_v2018 variety::EP register::spoken
5023	orgasmo	noun	0	4282	6.730	freq::5001-5500 freq500::5001-5500 freq1000::5001-6000 pos::noun source::opensubtitles_ep_v2018 variety::EP register::spoken
5024	comunicado	noun	0	4280	6.727	freq::5001-5500 freq500::5001-5500 freq1000::5001-6000 pos::noun source::opensubtitles_ep_v2018 variety::EP register::spoken
5025	diversos	unk	0	4280	6.727	freq::5001-5500 freq500::5001-5500 freq1000::5001-6000 pos::unk source::opensubtitles_ep_v2018 variety::EP register::spoken
